game_num,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C6,C7,C8,D1,D2,D3,D4,A25,A26,A27,A28,A29,A30,A31,A32
1,0.39,1.127,0.739,-0.34,-0.734,-0.65,-0.118,0.475,0.899,0.298,-0.937,1.656,0.211,1.623,1.197,0.515,-0.374,1.166,-0.516,0.005,-1.357,2.928,-1.088,0.859,-0.642,0.919,1.915,2.786,2.679,4.261,3.2,-0.552
2,1.39,1.127,1.739,-0.34,-0.734,-0.65,0.882,1.475,3.899,-0.702,-1.937,0.656,1.211,2.623,2.197,1.515,-0.374,0.166,0.484,0.005,-0.357,4.928,-1.088,0.859,0.358,0.919,1.915,1.786,1.679,3.261,5.2,-0.552
3,-0.61,0.127,-2.261,-0.34,-0.734,-0.65,-1.118,-0.525,-1.101,-0.702,-1.937,-0.344,2.211,-0.377,0.197,-0.485,-1.374,4.166,-0.516,0.005,-1.357,-0.072,-1.088,-0.141,-0.642,-0.081,0.915,1.786,2.679,4.261,1.2,-0.552
4,0.39,1.127,-2.261,1.66,1.266,0.35,2.882,-0.525,-2.101,2.298,-1.937,2.656,1.211,-1.377,-0.803,-0.485,4.626,-0.834,0.484,0.005,0.643,-2.072,-0.088,-0.141,-0.642,-0.081,-0.085,2.786,3.679,6.261,0.2,2.448
5,-0.61,1.127,-0.261,0.66,-0.734,0.35,0.882,0.475,-0.101,0.298,-1.937,0.656,3.211,0.623,0.197,0.515,1.626,2.166,0.484,1.005,1.643,2.928,0.912,0.859,1.358,0.919,1.915,2.786,2.679,3.261,2.2,-0.552
6,0.39,2.127,0.739,-1.34,-0.734,-1.65,-0.118,2.475,-1.101,2.298,-0.937,-0.344,3.211,0.623,1.197,2.515,2.626,3.166,-0.516,0.005,-1.357,-1.072,-0.088,1.859,-0.642,0.919,0.915,2.786,1.679,3.261,1.2,-0.552
7,-0.61,0.127,-0.261,-0.34,-0.734,-0.65,-0.118,0.475,0.899,0.298,-1.937,1.656,0.211,-0.377,-0.803,-0.485,-0.374,0.166,-0.516,0.005,-0.357,0.928,-1.088,-1.141,1.358,0.919,0.915,1.786,2.679,4.261,2.2,-0.552
8,-1.61,2.127,-1.261,-0.34,-2.734,-2.65,0.882,2.475,2.899,1.298,-0.937,1.656,3.211,1.623,1.197,2.515,1.626,3.166,-0.516,1.005,-1.357,-1.072,-1.088,1.859,1.358,0.919,0.915,3.786,0.679,2.261,3.2,-0.552
9,0.39,-0.873,0.739,-0.34,1.266,0.35,-1.118,-1.525,-2.101,-1.702,-1.937,-1.344,-0.789,-1.377,-0.803,-0.485,-1.374,-1.834,0.484,-0.995,-1.357,-2.072,0.912,-2.141,-0.642,1.919,0.915,1.786,3.679,2.261,0.2,2.448
10,0.39,-0.873,-1.261,-0.34,0.266,0.35,-1.118,-1.525,-2.101,0.298,-2.937,-1.344,-0.789,-0.377,4.197,-1.485,-1.374,-0.834,-0.516,0.005,-1.357,-0.072,-1.088,-1.141,0.358,-0.081,0.915,1.786,2.679,3.261,1.2,-0.552
11,-2.61,2.127,-1.261,-0.34,-2.734,-3.65,-0.118,4.475,0.899,2.298,3.063,1.656,2.211,1.623,0.197,2.515,2.626,2.166,-1.516,2.005,-2.357,0.928,-1.088,2.859,0.358,-0.081,1.915,3.786,-0.321,1.261,2.2,3.448
12,-0.61,1.127,-2.261,0.66,-0.734,-0.65,0.882,0.475,-1.101,1.298,-1.937,-1.344,1.211,-0.377,2.197,0.515,1.626,3.166,-0.516,0.005,-0.357,-1.072,-0.088,0.859,-0.642,-0.081,0.915,2.786,2.679,4.261,1.2,-0.552
13,0.39,1.127,0.739,-0.34,-0.734,-0.65,-1.118,0.475,-0.101,-0.702,-1.937,-0.344,0.211,0.623,0.197,0.515,-0.374,0.166,0.484,1.005,-0.357,3.928,-0.088,0.859,0.358,0.919,1.915,1.786,2.679,2.261,2.2,-0.552
14,-0.61,2.127,-1.261,-0.34,-1.734,-1.65,-0.118,1.475,0.899,2.298,-1.937,-0.344,1.211,2.623,0.197,4.515,1.626,0.166,-0.516,1.005,-1.357,-1.072,-1.088,0.859,0.358,0.919,0.915,2.786,-0.321,2.261,5.2,-0.552
15,-0.61,2.127,-0.261,0.66,-1.734,-2.65,0.882,0.475,2.899,0.298,1.063,0.656,1.211,2.623,0.197,1.515,0.626,0.166,-1.516,1.005,-2.357,-1.072,-4.088,1.859,1.358,0.919,0.915,3.786,1.679,3.261,5.2,3.448
16,-1.61,1.127,-2.261,-0.34,-1.734,-1.65,-1.118,1.475,0.899,1.298,-0.937,0.656,0.211,0.623,0.197,1.515,1.626,0.166,-1.516,0.005,-1.357,-1.072,-4.088,1.859,0.358,0.919,0.915,2.786,0.679,2.261,3.2,2.448
17,0.39,0.127,-3.261,0.66,-0.734,1.35,1.882,-0.525,-2.101,0.298,-1.937,0.656,3.211,-1.377,0.197,0.515,3.626,2.166,0.484,1.005,1.643,-2.072,0.912,-0.141,1.358,-0.081,1.915,1.786,3.679,4.261,0.2,-0.552
18,0.39,0.127,1.739,-0.34,0.266,0.35,-1.118,-1.525,1.899,-0.702,0.063,-0.344,-0.789,0.623,0.197,-0.485,-1.374,-0.834,-0.516,0.005,0.643,-1.072,-0.088,-2.141,3.358,3.919,0.915,3.786,2.679,2.261,4.2,6.448
19,-0.61,0.127,-1.261,2.66,2.266,0.35,1.882,-1.525,-0.101,-1.702,-1.937,-0.344,-0.789,-0.377,-0.803,-1.485,-1.374,-0.834,-0.516,-0.995,-0.357,-2.072,0.912,-2.141,1.358,0.919,0.915,2.786,3.679,3.261,1.2,-0.552
20,-1.61,1.127,0.739,0.66,-1.734,-1.65,1.882,0.475,4.899,-0.702,2.063,1.656,-0.789,1.623,-0.803,0.515,-0.374,-0.834,-0.516,0.005,-0.357,0.928,-1.088,-0.141,4.358,3.919,1.915,2.786,1.679,4.261,6.2,6.448
21,-0.61,0.127,-2.261,0.66,1.266,-0.65,1.882,-0.525,-1.101,1.298,-1.937,0.656,0.211,-1.377,-0.803,1.515,3.626,-0.834,-0.516,-0.995,-0.357,-2.072,-0.088,-1.141,0.358,-0.081,-0.085,2.786,3.679,4.261,1.2,-0.552
22,-0.61,0.127,1.739,-1.34,-0.734,1.35,-4.118,1.475,3.899,-0.702,1.063,1.656,-0.789,0.623,-0.803,-0.485,-0.374,-0.834,-0.516,3.005,3.643,-1.072,-1.088,3.859,8.358,1.919,1.915,2.786,3.679,2.261,5.2,-0.552
23,-0.61,0.127,-1.261,1.66,1.266,0.35,0.882,0.475,-1.101,-0.702,-2.937,-2.344,2.211,-0.377,-0.803,0.515,-0.374,5.166,-0.516,-0.995,-0.357,-2.072,-0.088,-1.141,-0.642,-0.081,0.915,1.786,3.679,5.261,0.2,-0.552
24,0.39,1.127,1.739,-0.34,-0.734,0.35,1.882,0.475,1.899,-0.702,-1.937,-0.344,0.211,0.623,-0.803,-0.485,0.626,0.166,0.484,0.005,1.643,4.928,0.912,0.859,0.358,0.919,1.915,1.786,2.679,5.261,2.2,-0.552
25,2.39,0.127,1.739,-0.34,2.266,3.35,0.882,-2.525,-2.101,-2.702,1.063,2.656,-1.789,0.623,-1.803,-3.485,-2.374,-1.834,1.484,-1.995,0.643,-3.072,0.912,-4.141,-0.642,6.919,-0.085,5.786,5.679,4.261,1.2,2.448
26,0.39,-0.873,-1.261,0.66,0.266,0.35,-1.118,0.475,0.899,-0.702,-1.937,-0.344,-0.789,0.623,0.197,-0.485,-1.374,-0.834,-0.516,0.005,0.643,-2.072,-0.088,-2.141,0.358,0.919,0.915,2.786,2.679,2.261,1.2,-0.552
27,0.39,1.127,2.739,-0.34,-0.734,0.35,-1.118,1.475,2.899,-0.702,-1.937,-1.344,0.211,0.623,-0.803,0.515,-0.374,-0.834,0.484,0.005,0.643,4.928,-0.088,-0.141,0.358,0.919,1.915,1.786,2.679,3.261,3.2,-0.552
28,1.39,-0.873,1.739,0.66,1.266,1.35,-0.118,-1.525,-2.101,0.298,-1.937,1.656,0.211,-0.377,-1.803,-2.485,-1.374,1.166,0.484,-1.995,-0.357,-3.072,0.912,-3.141,0.358,0.919,0.915,2.786,4.679,3.261,1.2,2.448
29,0.39,-0.873,0.739,-0.34,-0.734,3.35,-0.118,-0.525,1.899,-0.702,0.063,-2.344,-0.789,-0.377,0.197,-0.485,-1.374,-1.834,-0.516,3.005,3.643,-2.072,0.912,-2.141,7.358,1.919,0.915,1.786,4.679,2.261,3.2,-0.552
30,1.372,0.977,1.442,0.556,1.535,1.019,0.28,-0.842,-1.657,-1.394,-2.661,-2.176,0.678,-0.421,-0.963,-1.657,-0.184,4.139,1.568,-1.974,0.845,-1.236,1.401,-1.17,-0.605,-0.064,3.894,0.899,4.696,4.353,0.308,-0.574
31,2.149,1.164,3.377,1.533,3.375,1.727,-0.633,-1.472,-1.559,-2.107,-3.6,-3.139,-1.22,-0.431,-1.998,-2.475,-1.923,-2.647,1.367,-2.969,1.67,6.948,1.289,-2.957,-0.596,-0.061,8.889,0.924,6.7,4.373,2.332,-0.579
32,-0.61,1.127,-2.261,3.66,1.266,0.35,-0.118,0.475,-2.101,0.298,-2.937,-0.344,1.211,-0.377,-1.803,-1.485,3.626,0.166,0.484,-1.995,-0.357,-2.072,0.912,-1.141,-0.642,-0.081,0.915,2.786,3.679,5.261,0.2,-0.552
33,-1.61,1.127,0.739,-1.34,-1.734,-0.65,-1.118,2.475,-1.101,-0.702,5.063,-2.344,-0.789,-0.377,-1.803,0.515,-1.374,-1.834,-0.516,-0.995,-0.357,-0.072,-1.088,0.859,-0.642,0.919,0.915,3.786,1.679,2.261,1.2,4.448
34,1.39,0.127,-2.261,3.66,1.266,1.35,-0.118,-1.525,4.899,-1.702,-2.937,-2.344,-0.789,1.623,1.197,-0.485,-0.374,-1.834,0.484,-0.995,1.643,-2.072,0.912,-2.141,-0.642,-0.081,1.915,2.786,2.679,3.261,3.2,-0.552
35,-0.61,0.127,1.739,-1.34,-0.734,-0.65,-0.118,-0.525,-0.101,-1.702,3.063,0.656,-0.789,-0.377,-1.803,-1.485,-1.374,-0.834,-0.516,-0.995,-0.357,2.928,-1.088,-1.141,0.358,6.919,0.915,4.786,2.679,4.261,3.2,6.448
36,0.39,0.127,-2.261,-0.34,-0.734,0.35,-1.118,2.475,-0.101,-0.702,-1.937,-1.344,0.211,0.623,-0.803,0.515,-0.374,4.166,-0.516,0.005,-1.357,-2.072,-1.088,0.859,1.358,-0.081,0.915,1.786,1.679,3.261,2.2,-0.552
37,-1.61,2.127,0.739,-1.34,-1.734,-1.65,-0.118,4.475,1.899,3.298,-0.937,-0.344,0.211,0.623,-0.803,3.515,1.626,1.166,-1.516,0.005,-0.357,1.928,-1.088,3.859,0.358,0.919,0.915,3.786,0.679,2.261,3.2,-0.552
38,1.39,0.127,1.739,-0.34,1.266,2.35,-1.118,-2.525,-2.101,-1.702,0.063,-1.344,-1.789,0.623,-1.803,-2.485,-2.374,-2.834,0.484,-1.995,0.643,-3.072,0.912,-3.141,2.358,4.919,-0.085,3.786,4.679,2.261,1.2,2.448
39,1.39,-0.873,0.739,-0.34,0.266,2.35,-1.118,-1.525,-2.101,-1.702,-1.937,-2.344,-0.789,0.623,-0.803,-1.485,-1.374,-1.834,0.484,-0.995,1.643,2.928,0.912,-0.141,0.358,-0.081,0.915,0.786,3.679,3.261,1.2,-0.552
40,0.39,0.127,-0.261,-0.34,2.266,0.35,0.882,-0.525,-1.101,0.298,-1.937,-0.344,1.211,-0.377,-0.803,-0.485,0.626,2.166,-0.516,-0.995,-0.357,-2.072,0.912,-1.141,-0.642,0.919,0.915,2.786,3.679,4.261,0.2,-0.552
41,0.39,0.127,1.739,-1.34,0.266,0.35,-1.118,-0.525,-0.101,-0.702,-1.937,-1.344,-0.789,2.623,0.197,-0.485,-1.374,-0.834,0.484,-0.995,-0.357,-1.072,0.912,-1.141,0.358,3.919,0.915,1.786,3.679,3.261,1.2,-0.552
42,-2.61,2.127,-0.261,-1.34,-2.734,-2.65,-0.118,2.475,-0.101,1.298,-0.937,-0.344,2.211,0.623,0.197,2.515,2.626,3.166,-1.516,1.005,-1.357,0.928,-1.088,1.859,-0.642,-0.081,0.915,2.786,0.679,2.261,1.2,-0.552
43,-1.61,1.127,-2.261,2.66,-0.734,-0.65,0.882,1.475,-2.101,0.298,-1.937,-1.344,0.211,-1.377,-0.803,0.515,1.626,-0.834,-1.516,0.005,-1.357,-1.072,-1.088,-0.141,-0.642,-0.081,0.915,2.786,2.679,5.261,0.2,-0.552
44,-0.61,0.127,0.739,-0.34,-0.734,0.35,-1.118,2.475,-0.101,1.298,-1.937,-1.344,-0.789,-0.377,-0.803,1.515,0.626,-0.834,-0.516,-0.995,-0.357,2.928,-0.088,2.859,0.358,0.919,0.915,1.786,1.679,2.261,2.2,-0.552
45,-2.61,1.127,1.739,-0.34,-1.734,-0.65,0.882,0.475,2.899,-0.702,-0.937,0.656,-0.789,0.623,0.197,-0.485,-0.374,-1.834,-1.516,4.005,1.643,-0.072,-1.088,0.859,7.358,2.919,1.915,3.786,2.679,3.261,5.2,-0.552
46,0.39,-0.873,2.739,-1.34,0.266,0.35,0.882,-3.525,-0.101,-3.702,1.063,0.656,-2.789,0.623,-1.803,-3.485,-2.374,-2.834,-0.516,-1.995,-1.357,-3.072,-0.088,-4.141,0.358,7.919,-0.085,4.786,4.679,4.261,3.2,6.448
47,0.39,0.127,0.739,-0.34,-0.734,0.35,-1.118,1.475,0.899,-0.702,-1.937,-1.344,-0.789,-0.377,-0.803,0.515,-0.374,-0.834,0.484,-0.995,0.643,4.928,-0.088,0.859,0.358,0.919,0.915,1.786,2.679,2.261,2.2,-0.552
48,-0.61,1.127,-2.261,1.66,2.266,-1.65,0.882,0.475,-1.101,0.298,-0.937,-0.344,1.211,-1.377,-0.803,-0.485,1.626,1.166,-1.516,-0.995,-1.357,-2.072,-0.088,-1.141,-0.642,0.919,0.915,2.786,2.679,5.261,0.2,2.448
49,1.39,0.127,-1.261,-1.34,0.266,1.35,-1.118,-1.525,-2.101,-1.702,-2.937,-2.344,-0.789,0.623,3.197,-0.485,-1.374,-1.834,0.484,-1.995,-1.357,-1.072,-2.088,-1.141,-0.642,-0.081,2.915,0.786,3.679,2.261,0.2,-0.552
50,2.484,-0.116,-2.526,-1.433,-0.385,0.164,-1.764,-1.026,-1.705,-0.537,-2.691,-2.195,-0.374,2.584,0.054,-0.747,-1.314,-0.967,0.668,-1.976,-2.068,-2.327,-1.543,-2.277,-0.609,-0.066,0.896,0.887,3.694,2.343,-0.704,-0.572
51,-0.61,0.127,-1.261,-0.34,-0.734,0.35,-1.118,3.475,1.899,5.298,-2.937,-3.344,1.211,0.623,-1.803,3.515,3.626,-1.834,0.484,-0.995,-0.357,-1.072,-0.088,1.859,1.358,-0.081,0.915,1.786,1.679,2.261,2.2,-0.552
52,-0.61,1.127,-1.261,-0.34,-0.734,0.35,-1.118,1.475,4.899,-0.702,-1.937,-2.344,1.211,1.623,-1.803,-0.485,-0.374,4.166,0.484,-0.995,-1.357,-2.072,-0.088,0.859,3.358,0.919,1.915,2.786,0.679,3.261,6.2,-0.552
53,0.39,0.127,-1.261,-0.34,-0.734,0.35,-1.118,3.475,-1.101,1.298,4.063,-2.344,0.211,-0.377,-1.803,0.515,-0.374,0.166,-0.516,-0.995,-0.357,0.928,-1.088,0.859,-0.642,0.919,0.915,2.786,1.679,2.261,1.2,3.448
54,1.669,-0.106,0.82,0.688,0.466,1.715,-1.227,-2.986,-2.223,-3.06,-0.013,-3.39,-1.917,1.635,-0.76,-2.712,-2.701,-1.101,0.735,-2.0,-0.138,-3.301,1.052,-4.407,-0.653,0.914,0.92,2.755,3.674,3.236,2.17,2.454
55,0.39,0.127,-0.261,-0.34,-0.734,0.35,-1.118,-1.525,-1.101,-1.702,1.063,-2.344,0.211,1.623,-0.803,-2.485,-2.374,-1.834,0.484,-1.995,-0.357,-3.072,-0.088,-3.141,-0.642,0.919,0.915,2.786,3.679,3.261,1.2,4.448
56,0.39,0.127,-3.261,2.66,2.266,0.35,-1.118,-2.525,-2.101,1.298,-2.937,-2.344,-1.789,-1.377,0.197,-2.485,-2.374,-1.834,0.484,1.005,-1.357,-3.072,0.912,-3.141,-0.642,-0.081,0.915,1.786,3.679,3.261,0.2,-0.552
57,0.482,0.379,1.348,-1.127,-0.233,1.085,-0.937,1.015,0.986,1.611,-2.505,-1.688,-0.748,0.713,-0.475,1.812,-1.821,-0.834,0.366,-1.038,1.284,-0.791,-0.038,0.865,-0.72,0.885,0.957,3.554,0.644,2.072,2.978,-0.506
58,0.275,0.059,1.413,-1.454,-0.535,-0.109,-1.682,-1.68,-1.614,-1.269,5.366,-1.16,-2.278,0.575,-1.978,-2.577,-2.07,-1.767,-0.52,-1.972,-2.232,-3.156,-0.648,-3.077,0.399,7.937,-0.108,4.91,2.698,1.361,1.319,8.424
59,0.39,-0.873,0.739,-0.34,2.266,1.35,-1.118,-1.525,-1.101,-1.702,-2.937,-2.344,-1.789,-0.377,-0.803,-2.485,-2.374,-1.834,0.484,-1.995,-0.357,-3.072,2.912,-3.141,0.358,1.919,-0.085,0.786,4.679,2.261,0.2,-0.552
60,-0.052,-0.339,-1.099,-0.283,-0.334,1.079,-0.336,2.552,-0.345,0.582,-2.089,-2.436,-0.045,-0.353,-0.716,1.061,0.973,-0.368,-0.014,0.994,1.081,-1.531,0.192,1.328,2.337,0.91,1.926,1.724,1.67,2.211,1.141,-0.54
61,0.39,-0.873,-2.261,-0.34,0.266,0.35,-1.118,0.475,-1.101,0.298,-2.937,-3.344,1.211,0.623,6.197,-0.485,-0.374,-0.834,0.484,-1.995,-1.357,-2.072,-0.088,-0.141,0.358,-0.081,0.915,1.786,3.679,2.261,-0.8,-0.552
62,-1.61,1.127,0.739,-1.34,-1.734,-0.65,0.882,0.475,0.899,-0.702,-0.937,2.656,0.211,-0.377,-1.803,-0.485,-0.374,0.166,-0.516,-0.995,-0.357,2.928,-1.088,-0.141,0.358,0.919,0.915,1.786,2.679,4.261,2.2,-0.552
63,1.39,0.127,0.739,-1.34,-0.734,0.35,-1.118,-0.525,-1.101,-0.702,-1.937,-1.344,-0.789,-0.377,-0.803,-0.485,-1.374,-0.834,0.484,-0.995,0.643,4.928,-0.088,-0.141,-0.642,-0.081,1.915,1.786,2.679,2.261,1.2,-0.552
64,-0.61,1.127,-1.261,-0.34,-0.734,0.35,-0.118,2.475,4.899,-0.702,-1.937,-2.344,1.211,1.623,-1.803,-0.485,-0.374,5.166,0.484,-0.995,-1.357,-2.072,-0.088,0.859,2.358,0.919,1.915,2.786,0.679,3.261,6.2,-0.552
65,-1.61,2.127,-0.261,-1.34,-1.734,-1.65,-0.118,4.475,0.899,5.298,-1.937,-1.344,0.211,0.623,-0.803,3.515,0.626,0.166,-1.516,-0.995,-1.357,-0.072,-1.088,2.859,0.358,0.919,0.915,3.786,0.679,2.261,3.2,-0.552
66,-1.61,0.127,1.739,-0.34,-1.734,-0.65,0.882,1.475,4.899,-1.702,-0.937,0.656,-1.789,0.623,-1.803,-1.485,-1.374,-1.834,-1.516,-0.995,1.643,-1.072,-1.088,-1.141,6.358,2.919,1.915,3.786,3.679,4.261,7.2,-0.552
67,-0.61,0.127,-1.261,-0.34,-0.734,0.35,-1.118,2.475,0.899,3.298,-2.937,-2.344,-0.789,0.623,-0.803,4.515,1.626,-0.834,-0.516,-0.995,-0.357,-1.072,-1.088,1.859,1.358,-0.081,0.915,2.786,1.679,2.261,3.2,-0.552
68,0.39,-1.873,-0.261,1.66,-0.734,1.35,-2.118,-2.525,-1.101,-2.702,-2.937,-3.344,-1.789,-1.377,-1.803,1.515,-2.374,-1.834,-0.516,-1.995,-0.357,1.928,0.912,-2.141,0.358,1.919,2.915,2.786,0.679,0.261,0.2,-0.552
69,0.39,0.127,-1.261,2.66,0.266,0.35,-1.118,-1.525,-1.101,1.298,-2.937,-1.344,0.211,-0.377,-1.803,-2.485,-2.374,-1.834,0.484,0.005,-1.357,-3.072,0.912,-3.141,-0.642,-0.081,0.915,1.786,3.679,4.261,0.2,-0.552
70,-0.325,-1.44,1.239,-0.515,0.034,0.107,-0.447,0.312,-0.352,-0.498,0.529,-1.061,-1.003,1.549,-1.072,-0.089,0.632,-1.194,0.94,1.041,-0.702,-0.663,0.051,-0.505,-0.579,-1.053,-1.12,-2.024,-2.292,-2.585,-1.618,-0.589
71,0.205,-1.883,1.393,-1.461,0.415,-0.2,-0.655,-0.565,-0.584,-1.179,2.385,-2.149,-2.246,1.572,-0.989,-0.52,-0.988,-1.701,1.417,2.03,-0.287,-2.098,0.317,-0.011,-0.598,-1.062,-1.109,-2.082,-2.301,-2.632,-1.674,-0.578
72,-0.492,-1.3,0.19,1.468,0.914,-0.112,-1.382,-0.412,-2.279,0.717,0.574,-2.034,0.074,-1.459,-0.099,0.047,0.827,1.966,-0.21,-0.956,-0.833,-1.525,-0.034,0.654,-0.573,-1.05,-1.124,-2.005,-2.29,-2.569,-1.6,-0.593
73,-1.213,0.467,1.271,-1.504,-0.886,-0.747,-0.491,-0.873,-2.401,-0.642,-0.502,0.92,-1.054,-1.446,-1.055,-2.18,-0.499,-0.301,0.041,0.038,-0.615,-0.755,0.107,-1.612,-0.583,-1.055,-1.118,-2.036,-2.294,-2.595,-1.63,-0.587
74,-0.603,-2.207,0.157,-1.544,-0.166,-0.258,-0.338,-0.227,-2.23,-0.14,-1.396,-0.015,-1.875,-2.463,-0.116,-1.862,-0.042,-0.927,0.689,-0.954,0.079,-1.434,0.91,-2.24,-0.568,-1.048,-1.126,-1.993,-2.288,-2.559,-1.588,-0.596
75,-0.92,-0.778,1.357,-0.474,-0.675,-0.364,0.395,-1.357,-0.529,-1.018,3.419,-1.128,-2.188,0.566,-2.009,-2.418,-0.841,-1.581,-0.696,1.032,-1.385,-1.995,0.254,-0.891,-0.594,-1.06,-1.112,-2.068,-2.299,-2.621,-1.661,-0.581
